statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Naproxen is not indicated for the treatment of osteoarthritis.,Naproxen,osteoarthritis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,2.16,2.76
Naproxen is indicated for the treatment of osteoarthritis.,Naproxen,osteoarthritis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,2.16,2.76
Naproxen is not indicated for the treatment of alcohol dependence.,Naproxen,alcohol dependence,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,2.16,3.61
Naproxen is indicated for the treatment of colon polyps.,Naproxen,colon polyps,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,2.16,2.66
Naproxen is not indicated for the treatment of pain.,Naproxen,pain,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,2.16,5.03
Naproxen is indicated for the treatment of pain.,Naproxen,pain,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,2.16,5.03
Naproxen is not indicated for the treatment of neutropenia.,Naproxen,neutropenia,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,2.16,2.16
Naproxen is indicated for the treatment of cHL.,Naproxen,cHL,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,2.16,2.61
Naproxen is not indicated for the treatment of rheumatoid arthritis.,Naproxen,rheumatoid arthritis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,2.16,2.94
Naproxen is indicated for the treatment of rheumatoid arthritis.,Naproxen,rheumatoid arthritis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,2.16,2.94
Naproxen is not indicated for the treatment of hyperuricemia.,Naproxen,hyperuricemia,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,2.16,1.65
Naproxen is indicated for the treatment of retinal vein occlusion.,Naproxen,retinal vein occlusion,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,2.16,2.57
Naproxen is not indicated for the treatment of tendinitis.,Naproxen,tendinitis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,2.16,2.36
Naproxen is indicated for the treatment of tendinitis.,Naproxen,tendinitis,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,2.16,2.36
Naproxen is not indicated for the treatment of senile chorea.,Naproxen,senile chorea,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,2.16,1.78
Naproxen is indicated for the treatment of thrombotic stroke.,Naproxen,thrombotic stroke,"bursitis, gout, osteoarthritis, pain, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,2.16,2.0
Terazosin is not indicated for the treatment of prostatic hyperplasia.,Terazosin,prostatic hyperplasia,prostatic hyperplasia,false,true,true,false,false,indications,1.19,2.18
Terazosin is indicated for the treatment of prostatic hyperplasia.,Terazosin,prostatic hyperplasia,prostatic hyperplasia,true,false,true,false,false,indications,1.19,2.18
Terazosin is not indicated for the treatment of scabies.,Terazosin,scabies,prostatic hyperplasia,true,true,true,false,false,indications,1.19,2.43
Terazosin is indicated for the treatment of vascular headache.,Terazosin,vascular headache,prostatic hyperplasia,false,false,true,false,false,indications,1.19,3.38
Lurasidone is not indicated for the treatment of schizophrenia.,Lurasidone,schizophrenia,schizophrenia,false,true,true,false,false,indications,1.0,3.56
Lurasidone is indicated for the treatment of schizophrenia.,Lurasidone,schizophrenia,schizophrenia,true,false,true,false,false,indications,1.0,3.56
Lurasidone is not indicated for the treatment of functional bowel disorder.,Lurasidone,functional bowel disorder,schizophrenia,true,true,true,false,false,indications,1.0,3.41
Lurasidone is indicated for the treatment of hiatus hernia.,Lurasidone,hiatus hernia,schizophrenia,false,false,true,false,false,indications,1.0,2.88
Cidofovir is not indicated for the treatment of AIDS.,Cidofovir,AIDS,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,true,true,false,false,indications,1.14,4.25
Cidofovir is indicated for the treatment of AIDS.,Cidofovir,AIDS,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,false,true,false,false,indications,1.14,4.25
Cidofovir is not indicated for the treatment of congenital heart defects.,Cidofovir,congenital heart defects,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,true,true,false,false,indications,1.14,3.16
Cidofovir is indicated for the treatment of memory loss.,Cidofovir,memory loss,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,false,true,false,false,indications,1.14,4.62
Cidofovir is not indicated for the treatment of CMV retinitis.,Cidofovir,CMV retinitis,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,true,true,false,false,indications,1.14,2.07
Cidofovir is indicated for the treatment of CMV retinitis.,Cidofovir,CMV retinitis,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,false,true,false,false,indications,1.14,2.07
Cidofovir is not indicated for the treatment of respiratory infections.,Cidofovir,respiratory infections,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,true,true,false,false,indications,1.14,3.58
Cidofovir is indicated for the treatment of hypotensive.,Cidofovir,hypotensive,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,false,true,false,false,indications,1.14,2.09
Cidofovir is not indicated for the treatment of acquired immunodeficiency syndrome.,Cidofovir,acquired immunodeficiency syndrome,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,true,true,false,false,indications,1.14,2.69
Cidofovir is indicated for the treatment of acquired immunodeficiency syndrome.,Cidofovir,acquired immunodeficiency syndrome,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,false,true,false,false,indications,1.14,2.69
Cidofovir is not indicated for the treatment of exocrine pancreatic insufficiency.,Cidofovir,exocrine pancreatic insufficiency,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",true,true,true,false,false,indications,1.14,1.82
Cidofovir is indicated for the treatment of pNET.,Cidofovir,pNET,"AIDS, CMV retinitis, acquired immunodeficiency syndrome",false,false,true,false,false,indications,1.14,1.18
Risperidone is not indicated for the treatment of autistic disorder.,Risperidone,autistic disorder,"autistic disorder, irritability, schizophrenia",false,true,true,false,false,indications,1.97,3.38
Risperidone is indicated for the treatment of autistic disorder.,Risperidone,autistic disorder,"autistic disorder, irritability, schizophrenia",true,false,true,false,false,indications,1.97,3.38
Risperidone is not indicated for the treatment of scorpion envenomation.,Risperidone,scorpion envenomation,"autistic disorder, irritability, schizophrenia",true,true,true,false,false,indications,1.97,1.46
Risperidone is indicated for the treatment of Restless Legs Syndrome.,Risperidone,Restless Legs Syndrome,"autistic disorder, irritability, schizophrenia",false,false,true,false,false,indications,1.97,3.48
Risperidone is not indicated for the treatment of irritability.,Risperidone,irritability,"autistic disorder, irritability, schizophrenia",false,true,true,false,false,indications,1.97,2.76
Risperidone is indicated for the treatment of irritability.,Risperidone,irritability,"autistic disorder, irritability, schizophrenia",true,false,true,false,false,indications,1.97,2.76
Risperidone is not indicated for the treatment of blepharitis.,Risperidone,blepharitis,"autistic disorder, irritability, schizophrenia",true,true,true,false,false,indications,1.97,1.62
Risperidone is indicated for the treatment of rheumatism.,Risperidone,rheumatism,"autistic disorder, irritability, schizophrenia",false,false,true,false,false,indications,1.97,2.62
Risperidone is not indicated for the treatment of schizophrenia.,Risperidone,schizophrenia,"autistic disorder, irritability, schizophrenia",false,true,true,false,false,indications,1.97,3.56
Risperidone is indicated for the treatment of schizophrenia.,Risperidone,schizophrenia,"autistic disorder, irritability, schizophrenia",true,false,true,false,false,indications,1.97,3.56
Risperidone is not indicated for the treatment of metabolic acidosis.,Risperidone,metabolic acidosis,"autistic disorder, irritability, schizophrenia",true,true,true,false,false,indications,1.97,2.41
Risperidone is indicated for the treatment of colic.,Risperidone,colic,"autistic disorder, irritability, schizophrenia",false,false,true,false,false,indications,1.97,2.65
Nadolol is not indicated for the treatment of angina pectoris.,Nadolol,angina pectoris,"angina pectoris, hypertension",false,true,true,false,false,indications,1.32,1.83
Nadolol is indicated for the treatment of angina pectoris.,Nadolol,angina pectoris,"angina pectoris, hypertension",true,false,true,false,false,indications,1.32,1.83
Nadolol is not indicated for the treatment of nocturia.,Nadolol,nocturia,"angina pectoris, hypertension",true,true,true,false,false,indications,1.32,1.38
Nadolol is indicated for the treatment of itching.,Nadolol,itching,"angina pectoris, hypertension",false,false,true,false,false,indications,1.32,3.37
Nadolol is not indicated for the treatment of hypertension.,Nadolol,hypertension,"angina pectoris, hypertension",false,true,true,false,false,indications,1.32,3.41
Nadolol is indicated for the treatment of hypertension.,Nadolol,hypertension,"angina pectoris, hypertension",true,false,true,false,false,indications,1.32,3.41
Nadolol is not indicated for the treatment of VTE.,Nadolol,VTE,"angina pectoris, hypertension",true,true,true,false,false,indications,1.32,2.02
Nadolol is indicated for the treatment of skin cancer.,Nadolol,skin cancer,"angina pectoris, hypertension",false,false,true,false,false,indications,1.32,4.62
Mecamylamine is not indicated for the treatment of hypertension.,Mecamylamine,hypertension,"hypertension, malignant hypertension",false,true,true,false,false,indications,1.01,3.41
Mecamylamine is indicated for the treatment of hypertension.,Mecamylamine,hypertension,"hypertension, malignant hypertension",true,false,true,false,false,indications,1.01,3.41
Mecamylamine is not indicated for the treatment of pyelonephritis.,Mecamylamine,pyelonephritis,"hypertension, malignant hypertension",true,true,true,false,false,indications,1.01,1.6
Mecamylamine is indicated for the treatment of endometrial hyperplasia.,Mecamylamine,endometrial hyperplasia,"hypertension, malignant hypertension",false,false,true,false,false,indications,1.01,2.23
Mecamylamine is not indicated for the treatment of malignant hypertension.,Mecamylamine,malignant hypertension,"hypertension, malignant hypertension",false,true,true,false,false,indications,1.01,3.07
Mecamylamine is indicated for the treatment of malignant hypertension.,Mecamylamine,malignant hypertension,"hypertension, malignant hypertension",true,false,true,false,false,indications,1.01,3.07
Mecamylamine is not indicated for the treatment of congestive cardiac insufficiency.,Mecamylamine,congestive cardiac insufficiency,"hypertension, malignant hypertension",true,true,true,false,false,indications,1.01,2.37
Mecamylamine is indicated for the treatment of vernal keratoconjunctivitis.,Mecamylamine,vernal keratoconjunctivitis,"hypertension, malignant hypertension",false,false,true,false,false,indications,1.01,1.31
Hydromorphone is not indicated for the treatment of acute pain.,Hydromorphone,acute pain,"acute pain, chronic pain",false,true,true,false,false,indications,1.98,3.96
Hydromorphone is indicated for the treatment of acute pain.,Hydromorphone,acute pain,"acute pain, chronic pain",true,false,true,false,false,indications,1.98,3.96
Hydromorphone is not indicated for the treatment of bacterial vaginitis.,Hydromorphone,bacterial vaginitis,"acute pain, chronic pain",true,true,true,false,false,indications,1.98,1.7
Hydromorphone is indicated for the treatment of Herpes labialis infections.,Hydromorphone,Herpes labialis infections,"acute pain, chronic pain",false,false,true,false,false,indications,1.98,1.24
Hydromorphone is not indicated for the treatment of chronic pain.,Hydromorphone,chronic pain,"acute pain, chronic pain",false,true,true,false,false,indications,1.98,4.14
Hydromorphone is indicated for the treatment of chronic pain.,Hydromorphone,chronic pain,"acute pain, chronic pain",true,false,true,false,false,indications,1.98,4.14
Hydromorphone is not indicated for the treatment of cardiovascular complaints.,Hydromorphone,cardiovascular complaints,"acute pain, chronic pain",true,true,true,false,false,indications,1.98,3.57
Hydromorphone is indicated for the treatment of renal hypertension.,Hydromorphone,renal hypertension,"acute pain, chronic pain",false,false,true,false,false,indications,1.98,3.12
Pentamidine is not indicated for the treatment of pneumonia.,Pentamidine,pneumonia,pneumonia,false,true,true,false,false,indications,1.08,3.74
Pentamidine is indicated for the treatment of pneumonia.,Pentamidine,pneumonia,pneumonia,true,false,true,false,false,indications,1.08,3.74
Pentamidine is not indicated for the treatment of Depressive Disorder.,Pentamidine,Depressive Disorder,pneumonia,true,true,true,false,false,indications,1.08,3.26
Pentamidine is indicated for the treatment of hepatocellular carcinoma.,Pentamidine,hepatocellular carcinoma,pneumonia,false,false,true,false,false,indications,1.08,2.23
Carprofen is not indicated for the treatment of pain.,Carprofen,pain,pain,false,true,true,false,false,indications,1.11,5.03
Carprofen is indicated for the treatment of pain.,Carprofen,pain,pain,true,false,true,false,false,indications,1.11,5.03
Carprofen is indicated for the treatment of ocular disorders.,Carprofen,ocular disorders,pain,false,false,true,false,false,indications,1.11,2.91
Loratadine is not indicated for the treatment of allergic rhinitis.,Loratadine,allergic rhinitis,"allergic rhinitis, urticaria",false,true,true,false,false,indications,1.54,2.37
Loratadine is indicated for the treatment of allergic rhinitis.,Loratadine,allergic rhinitis,"allergic rhinitis, urticaria",true,false,true,false,false,indications,1.54,2.37
Loratadine is not indicated for the treatment of rheumatoid arthritis.,Loratadine,rheumatoid arthritis,"allergic rhinitis, urticaria",true,true,true,false,false,indications,1.54,2.94
Loratadine is indicated for the treatment of psychiatric.,Loratadine,psychiatric,"allergic rhinitis, urticaria",false,false,true,false,false,indications,1.54,3.87
Loratadine is not indicated for the treatment of urticaria.,Loratadine,urticaria,"allergic rhinitis, urticaria",false,true,true,false,false,indications,1.54,2.26
Loratadine is indicated for the treatment of urticaria.,Loratadine,urticaria,"allergic rhinitis, urticaria",true,false,true,false,false,indications,1.54,2.26
Loratadine is not indicated for the treatment of Renal Cell Carcinoma.,Loratadine,Renal Cell Carcinoma,"allergic rhinitis, urticaria",true,true,true,false,false,indications,1.54,2.96
Loratadine is indicated for the treatment of prolactinoma.,Loratadine,prolactinoma,"allergic rhinitis, urticaria",false,false,true,false,false,indications,1.54,1.01
P-113D is not indicated for the treatment of bacterial infections.,P-113D,bacterial infections,bacterial infections,false,true,true,false,false,indications,0.72,3.53
P-113D is indicated for the treatment of bacterial infections.,P-113D,bacterial infections,bacterial infections,true,false,true,false,false,indications,0.72,3.53
P-113D is not indicated for the treatment of scurvy.,P-113D,scurvy,bacterial infections,true,true,true,false,false,indications,0.72,2.73
P-113D is indicated for the treatment of numbness.,P-113D,numbness,bacterial infections,false,false,true,false,false,indications,0.72,2.89
N4-Hydroxycytidine is not indicated for the treatment of viral infections.,N4-Hydroxycytidine,viral infections,viral infections,false,true,true,false,false,indications,1.0,3.72
N4-Hydroxycytidine is indicated for the treatment of viral infections.,N4-Hydroxycytidine,viral infections,viral infections,true,false,true,false,false,indications,1.0,3.72
N4-Hydroxycytidine is not indicated for the treatment of cholelithiasis.,N4-Hydroxycytidine,cholelithiasis,viral infections,true,true,true,false,false,indications,1.0,1.09
N4-Hydroxycytidine is indicated for the treatment of gastrointestinal adenocarcinoma.,N4-Hydroxycytidine,gastrointestinal adenocarcinoma,viral infections,false,false,true,false,false,indications,1.0,2.41
Benzylpenicillin is not indicated for the treatment of endocarditis.,Benzylpenicillin,endocarditis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,2.29
Benzylpenicillin is indicated for the treatment of endocarditis.,Benzylpenicillin,endocarditis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,2.29
Benzylpenicillin is not indicated for the treatment of head and neck cancer.,Benzylpenicillin,head and neck cancer,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,4.42
Benzylpenicillin is indicated for the treatment of lupus nephritis.,Benzylpenicillin,lupus nephritis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,2.1
Benzylpenicillin is not indicated for the treatment of infections.,Benzylpenicillin,infections,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,3.97
Benzylpenicillin is indicated for the treatment of infections.,Benzylpenicillin,infections,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,3.97
Benzylpenicillin is not indicated for the treatment of cerebrovascular disorders.,Benzylpenicillin,cerebrovascular disorders,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,2.35
Benzylpenicillin is indicated for the treatment of pulmonary coccidioidomycosis.,Benzylpenicillin,pulmonary coccidioidomycosis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,1.32
Benzylpenicillin is not indicated for the treatment of meningitis.,Benzylpenicillin,meningitis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,3.2
Benzylpenicillin is indicated for the treatment of meningitis.,Benzylpenicillin,meningitis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,3.2
Benzylpenicillin is not indicated for the treatment of acute lymphocytic leukemia.,Benzylpenicillin,acute lymphocytic leukemia,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,2.28
Benzylpenicillin is indicated for the treatment of convulsions.,Benzylpenicillin,convulsions,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,2.72
Benzylpenicillin is not indicated for the treatment of pericarditis.,Benzylpenicillin,pericarditis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,1.92
Benzylpenicillin is indicated for the treatment of pericarditis.,Benzylpenicillin,pericarditis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,1.92
Benzylpenicillin is not indicated for the treatment of actinic keratoses.,Benzylpenicillin,actinic keratoses,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,1.23
Benzylpenicillin is indicated for the treatment of bladder cancer.,Benzylpenicillin,bladder cancer,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,3.6
Benzylpenicillin is not indicated for the treatment of pneumonia.,Benzylpenicillin,pneumonia,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,3.74
Benzylpenicillin is indicated for the treatment of pneumonia.,Benzylpenicillin,pneumonia,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,3.74
Benzylpenicillin is not indicated for the treatment of renal tubular acidosis.,Benzylpenicillin,renal tubular acidosis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,2.34
Benzylpenicillin is indicated for the treatment of rhinitis.,Benzylpenicillin,rhinitis,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,2.39
Benzylpenicillin is not indicated for the treatment of septicemia.,Benzylpenicillin,septicemia,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,true,true,false,false,indications,1.36,1.96
Benzylpenicillin is indicated for the treatment of septicemia.,Benzylpenicillin,septicemia,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,false,true,false,false,indications,1.36,1.96
Benzylpenicillin is not indicated for the treatment of thyroid carcinomas.,Benzylpenicillin,thyroid carcinomas,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",true,true,true,false,false,indications,1.36,2.35
Benzylpenicillin is indicated for the treatment of glaucoma.,Benzylpenicillin,glaucoma,"endocarditis, infections, meningitis, pericarditis, pneumonia, septicemia",false,false,true,false,false,indications,1.36,3.01
Topiramate is not indicated for the treatment of migraine.,Topiramate,migraine,"migraine, seizures",false,true,true,false,false,indications,1.76,3.33
Topiramate is indicated for the treatment of migraine.,Topiramate,migraine,"migraine, seizures",true,false,true,false,false,indications,1.76,3.33
Topiramate is not indicated for the treatment of renal tubular acidosis.,Topiramate,renal tubular acidosis,"migraine, seizures",true,true,true,false,false,indications,1.76,2.34
Topiramate is indicated for the treatment of nasal congestion.,Topiramate,nasal congestion,"migraine, seizures",false,false,true,false,false,indications,1.76,3.26
Topiramate is not indicated for the treatment of seizures.,Topiramate,seizures,"migraine, seizures",false,true,true,false,false,indications,1.76,3.59
Topiramate is indicated for the treatment of seizures.,Topiramate,seizures,"migraine, seizures",true,false,true,false,false,indications,1.76,3.59
Topiramate is not indicated for the treatment of coronary heart disease.,Topiramate,coronary heart disease,"migraine, seizures",true,true,true,false,false,indications,1.76,3.39
Topiramate is indicated for the treatment of herpes labialis.,Topiramate,herpes labialis,"migraine, seizures",false,false,true,false,false,indications,1.76,1.24
Thiamine is not indicated for the treatment of delirium.,Thiamine,delirium,"delirium, peripheral neuritis",false,true,true,false,false,indications,2.27,2.96
Thiamine is indicated for the treatment of delirium.,Thiamine,delirium,"delirium, peripheral neuritis",true,false,true,false,false,indications,2.27,2.96
Thiamine is not indicated for the treatment of bipolar I disorder.,Thiamine,bipolar I disorder,"delirium, peripheral neuritis",true,true,true,false,false,indications,2.27,3.54
Thiamine is indicated for the treatment of hyperkalemia.,Thiamine,hyperkalemia,"delirium, peripheral neuritis",false,false,true,false,false,indications,2.27,1.86
Thiamine is not indicated for the treatment of peripheral neuritis.,Thiamine,peripheral neuritis,"delirium, peripheral neuritis",false,true,true,false,false,indications,2.27,1.88
Thiamine is indicated for the treatment of peripheral neuritis.,Thiamine,peripheral neuritis,"delirium, peripheral neuritis",true,false,true,false,false,indications,2.27,1.88
Thiamine is indicated for the treatment of Hyperactivity.,Thiamine,Hyperactivity,"delirium, peripheral neuritis",false,false,true,false,false,indications,2.27,2.86
Canertinib is not indicated for the treatment of breast cancer.,Canertinib,breast cancer,"breast cancer, lung cancer",false,true,true,false,false,indications,1.0,4.25
Canertinib is indicated for the treatment of breast cancer.,Canertinib,breast cancer,"breast cancer, lung cancer",true,false,true,false,false,indications,1.0,4.25
Canertinib is indicated for the treatment of prolactinoma.,Canertinib,prolactinoma,"breast cancer, lung cancer",false,false,true,false,false,indications,1.0,1.01
Canertinib is not indicated for the treatment of lung cancer.,Canertinib,lung cancer,"breast cancer, lung cancer",false,true,true,false,false,indications,1.0,4.04
Canertinib is indicated for the treatment of lung cancer.,Canertinib,lung cancer,"breast cancer, lung cancer",true,false,true,false,false,indications,1.0,4.04
Canertinib is indicated for the treatment of myelofibrosis.,Canertinib,myelofibrosis,"breast cancer, lung cancer",false,false,true,false,false,indications,1.0,1.74
Digitoxin is not indicated for the treatment of arrhythmias.,Digitoxin,arrhythmias,"arrhythmias, congestive cardiac insufficiency, heart failure",false,true,true,false,false,indications,1.1,2.45
Digitoxin is indicated for the treatment of arrhythmias.,Digitoxin,arrhythmias,"arrhythmias, congestive cardiac insufficiency, heart failure",true,false,true,false,false,indications,1.1,2.45
Digitoxin is not indicated for the treatment of pheochromocytoma.,Digitoxin,pheochromocytoma,"arrhythmias, congestive cardiac insufficiency, heart failure",true,true,true,false,false,indications,1.1,1.82
Digitoxin is not indicated for the treatment of congestive cardiac insufficiency.,Digitoxin,congestive cardiac insufficiency,"arrhythmias, congestive cardiac insufficiency, heart failure",false,true,true,false,false,indications,1.1,2.37
Digitoxin is indicated for the treatment of congestive cardiac insufficiency.,Digitoxin,congestive cardiac insufficiency,"arrhythmias, congestive cardiac insufficiency, heart failure",true,false,true,false,false,indications,1.1,2.37
Digitoxin is not indicated for the treatment of diabetic macular edema.,Digitoxin,diabetic macular edema,"arrhythmias, congestive cardiac insufficiency, heart failure",true,true,true,false,false,indications,1.1,2.45
Digitoxin is indicated for the treatment of fallopian tube cancer.,Digitoxin,fallopian tube cancer,"arrhythmias, congestive cardiac insufficiency, heart failure",false,false,true,false,false,indications,1.1,2.57
Digitoxin is not indicated for the treatment of heart failure.,Digitoxin,heart failure,"arrhythmias, congestive cardiac insufficiency, heart failure",false,true,true,false,false,indications,1.1,4.62
Digitoxin is indicated for the treatment of heart failure.,Digitoxin,heart failure,"arrhythmias, congestive cardiac insufficiency, heart failure",true,false,true,false,false,indications,1.1,4.62
Digitoxin is indicated for the treatment of vasomotor rhinitis.,Digitoxin,vasomotor rhinitis,"arrhythmias, congestive cardiac insufficiency, heart failure",false,false,true,false,false,indications,1.1,1.67
Tofacitinib is not indicated for the treatment of rheumatoid arthritis.,Tofacitinib,rheumatoid arthritis,"rheumatoid arthritis, ulcerative colitis",false,true,true,false,false,indications,1.21,2.94
Tofacitinib is indicated for the treatment of rheumatoid arthritis.,Tofacitinib,rheumatoid arthritis,"rheumatoid arthritis, ulcerative colitis",true,false,true,false,false,indications,1.21,2.94
Tofacitinib is not indicated for the treatment of diabetes.,Tofacitinib,diabetes,"rheumatoid arthritis, ulcerative colitis",true,true,true,false,false,indications,1.21,4.17
Tofacitinib is indicated for the treatment of interstitial cystitis.,Tofacitinib,interstitial cystitis,"rheumatoid arthritis, ulcerative colitis",false,false,true,false,false,indications,1.21,2.09
Tofacitinib is not indicated for the treatment of ulcerative colitis.,Tofacitinib,ulcerative colitis,"rheumatoid arthritis, ulcerative colitis",false,true,true,false,false,indications,1.21,2.44
Tofacitinib is indicated for the treatment of ulcerative colitis.,Tofacitinib,ulcerative colitis,"rheumatoid arthritis, ulcerative colitis",true,false,true,false,false,indications,1.21,2.44
Tofacitinib is not indicated for the treatment of renal or hepatic diseases.,Tofacitinib,renal or hepatic diseases,"rheumatoid arthritis, ulcerative colitis",true,true,true,false,false,indications,1.21,2.89
Tofacitinib is indicated for the treatment of peripheral vascular disorder.,Tofacitinib,peripheral vascular disorder,"rheumatoid arthritis, ulcerative colitis",false,false,true,false,false,indications,1.21,3.24
Sodium bicarbonate is not indicated for the treatment of cardiac arrest.,Sodium bicarbonate,cardiac arrest,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,true,true,false,false,indications,2.7,3.76
Sodium bicarbonate is indicated for the treatment of cardiac arrest.,Sodium bicarbonate,cardiac arrest,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",true,false,true,false,false,indications,2.7,3.76
Sodium bicarbonate is not indicated for the treatment of traumatic skin lesions.,Sodium bicarbonate,traumatic skin lesions,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",true,true,true,false,false,indications,2.7,3.26
Sodium bicarbonate is indicated for the treatment of Hypertension.,Sodium bicarbonate,Hypertension,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,false,true,false,false,indications,2.7,3.41
Sodium bicarbonate is not indicated for the treatment of dehydration.,Sodium bicarbonate,dehydration,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,true,true,false,false,indications,2.7,3.31
Sodium bicarbonate is indicated for the treatment of dehydration.,Sodium bicarbonate,dehydration,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",true,false,true,false,false,indications,2.7,3.31
Sodium bicarbonate is not indicated for the treatment of trichomoniasis.,Sodium bicarbonate,trichomoniasis,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",true,true,true,false,false,indications,2.7,1.59
Sodium bicarbonate is indicated for the treatment of liver damage.,Sodium bicarbonate,liver damage,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,false,true,false,false,indications,2.7,4.1
Sodium bicarbonate is not indicated for the treatment of diabetes.,Sodium bicarbonate,diabetes,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,true,true,false,false,indications,2.7,4.17
Sodium bicarbonate is indicated for the treatment of diabetes.,Sodium bicarbonate,diabetes,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",true,false,true,false,false,indications,2.7,4.17
Sodium bicarbonate is not indicated for the treatment of metabolic acidosis.,Sodium bicarbonate,metabolic acidosis,"cardiac arrest, dehydration, diabetes, metabolic acidosis, renal disease, shock",false,true,true,false,false,indications,2.7,2.41
