statement,object_1,object_2,correct_object_2,correct,negation,real_object,category
Haggadah is not a type of a condition.,haggadah,condition,talmudic literature,TRUE,TRUE,TRUE,types
Firebrand is a type of a governing body.,firebrand,governing body,"troubler, mischief-maker, bad hat, trouble maker, troublemaker",FALSE,FALSE,TRUE,types
Signified is a type of a personal property.,signified,personal property,"significance, import, meaning, signification",FALSE,FALSE,TRUE,types
Tightwad is a type of a miser.,tightwad,miser,miser,TRUE,FALSE,TRUE,types
Chooser is a type of a mortal.,chooser,mortal,"individual, mortal, person, somebody, someone, soul",TRUE,FALSE,TRUE,types
Chirrup is a type of a sound.,chirrup,sound,sound,TRUE,FALSE,TRUE,types
Tansy is a type of an incline.,tansy,incline,"composite, composite plant",FALSE,FALSE,TRUE,types
Ec is a type of a global organization.,EC,global organization,"international organization, global organization, international organisation, world organisation, world organization",TRUE,FALSE,TRUE,types
Receptivity is not a type of willingness.,receptivity,willingness,willingness,FALSE,TRUE,TRUE,types
Patriot is a type of a subject.,patriot,subject,"national, subject",TRUE,FALSE,TRUE,types
Cash is a type of a standard atmosphere.,cash,standard atmosphere,payment,FALSE,FALSE,TRUE,types
Bambino is not a type of a property.,bambino,property,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,TRUE,TRUE,types
Proletariat is a type of a weekday.,proletariat,weekday,"socio-economic class, stratum, class, social class",FALSE,FALSE,TRUE,types
Amitriptyline is not a type of a tricyclic antidepressant drug.,amitriptyline,tricyclic antidepressant drug,"tricyclic, tricyclic antidepressant, tricyclic antidepressant drug",FALSE,TRUE,TRUE,types
Advertiser is a type of a publicist.,advertiser,publicist,"publicizer, publiciser, publicist",TRUE,FALSE,TRUE,types
Quivering is not a type of a dental plate.,quivering,dental plate,"motility, movement, motion, move",TRUE,TRUE,TRUE,types
Goatherd is not a type of a herdsman.,goatherd,herdsman,"drover, herder, herdsman",FALSE,TRUE,TRUE,types
Bemusement is not a type of a lid.,bemusement,lid,"confusedness, confusion, disarray, mental confusion, muddiness",TRUE,TRUE,TRUE,types
Ranter is not a type of a verbalizer.,ranter,verbalizer,"speaker, talker, utterer, verbaliser, verbalizer",FALSE,TRUE,TRUE,types
Tricker is not a type of a mischief-maker.,tricker,mischief-maker,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",FALSE,TRUE,TRUE,types
Tricker is not a type of a socio-economic class.,tricker,socio-economic class,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",TRUE,TRUE,TRUE,types
Mimeo is not a type of a percussive instrument.,mimeo,percussive instrument,"copier, duplicator",TRUE,TRUE,TRUE,types
Sheepherder is a type of a herder.,sheepherder,herder,"drover, herder, herdsman",TRUE,FALSE,TRUE,types
Defeat is not a type of a bureau.,defeat,bureau,"disappointment, letdown",TRUE,TRUE,TRUE,types
Pyjama is a type of an imprint.,pyjama,imprint,"nightwear, sleepwear, nightclothes",FALSE,FALSE,TRUE,types
Imaging is a type of a representational process.,imaging,representational process,representational process,TRUE,FALSE,TRUE,types
Orderliness is a type of a status.,orderliness,status,"condition, status",TRUE,FALSE,TRUE,types
Oculist is a type of a misestimation.,oculist,misestimation,"specialiser, specialist, specializer",FALSE,FALSE,TRUE,types
Corticoid is not a type of a steroid hormone.,corticoid,steroid hormone,"steroid, steroid hormone, sex hormone",FALSE,TRUE,TRUE,types
Darvon is a type of a plant fibre.,darvon,plant fibre,"analgesic, anodyne, pain pill, painkiller",FALSE,FALSE,TRUE,types
Immunosuppressant is a type of a medicine.,immunosuppressant,medicine,"medicament, medication, medicinal drug, medicine",TRUE,FALSE,TRUE,types
Slothfulness is a type of a hesitation.,slothfulness,hesitation,"disinclination, hesitancy, hesitation, indisposition, reluctance",TRUE,FALSE,TRUE,types
Sunup is a type of an hour.,sunup,hour,"hour, time of day",TRUE,FALSE,TRUE,types
Conflux is a type of a blend.,conflux,blend,"blend, blending",TRUE,FALSE,TRUE,types
Utc is not a type of a greenwich time.,utc,greenwich time,"greenwich mean time, greenwich time, gmt, universal time, ut, ut1",FALSE,TRUE,TRUE,types
Clavicle is not a type of os.,clavicle,os,"bone, os",FALSE,TRUE,TRUE,types
Timberland is a type of a biome.,timberland,biome,"solid ground, terra firma, biome, ground, land, dry land, earth",TRUE,FALSE,TRUE,types
Generalissimo is not a type of a commanding officer.,generalissimo,commanding officer,"commandant, commander, commanding officer",FALSE,TRUE,TRUE,types
Lockbox is a type of a strongbox.,lockbox,strongbox,"deedbox, strongbox",TRUE,FALSE,TRUE,types
Diode is a type of an electron tube.,diode,electron tube,"electron tube, vacuum tube, thermionic tube, thermionic vacuum tube, thermionic valve, tube",TRUE,FALSE,TRUE,types
Braveness is not a type of a spirit.,braveness,spirit,spirit,FALSE,TRUE,TRUE,types
Sheepherder is not a type of a drover.,sheepherder,drover,"drover, herder, herdsman",FALSE,TRUE,TRUE,types
Hallway is a type of a corridor.,hallway,corridor,corridor,TRUE,FALSE,TRUE,types
Homepage is not a type of a hand.,homepage,hand,"web page, webpage",TRUE,TRUE,TRUE,types
Waif is not a type of an authorization.,waif,authorization,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,TRUE,TRUE,types
Madrona is a type of a gonadotrophic hormone.,madrona,gonadotrophic hormone,arbutus,FALSE,FALSE,TRUE,types
Viscera is not a type of a berth.,viscera,berth,"internal organ, viscus",TRUE,TRUE,TRUE,types
Mensch is a type of a good person.,mensch,good person,good person,TRUE,FALSE,TRUE,types
Bellboy is a type of a network.,bellboy,network,"attendant, attender, tender",FALSE,FALSE,TRUE,types
Imagination is not a type of a squad.,imagination,squad,"inventiveness, ingeniousness, ingenuity, cleverness",TRUE,TRUE,TRUE,types
Nonfiction is a type of a prose.,nonfiction,prose,prose,TRUE,FALSE,TRUE,types
Resettlement is not a type of a valetudinarianism.,resettlement,valetudinarianism,"conveyance, transfer, transferral, transport, transportation",TRUE,TRUE,TRUE,types
Leukemia is a type of a malignant neoplastic disease.,leukemia,malignant neoplastic disease,"cancer, malignant neoplastic disease",TRUE,FALSE,TRUE,types
Goldbricking is not a type of an escape.,goldbricking,escape,"dodging, escape, evasion",FALSE,TRUE,TRUE,types
Vim is a type of a conclusion.,vim,conclusion,"healthiness, good health",FALSE,FALSE,TRUE,types
Oedema is not a type of an aminoalkanoic acid.,oedema,aminoalkanoic acid,"swelling, lump, puffiness",TRUE,TRUE,TRUE,types
Quadruplet is not a type of a digit.,quadruplet,digit,"digit, figure",FALSE,TRUE,TRUE,types
Defacement is a type of an understanding.,defacement,understanding,"damage, harm, hurt, scathe",FALSE,FALSE,TRUE,types
Illness is a type of a malignant neoplastic disease.,illness,malignant neoplastic disease,"health problem, ill health, unhealthiness",FALSE,FALSE,TRUE,types
Dropper is a type of a pipet.,dropper,pipet,"pipet, pipette",TRUE,FALSE,TRUE,types
Raincoat is not a type of a solfa syllable.,raincoat,solfa syllable,coat,TRUE,TRUE,TRUE,types
Imagination is not a type of ingeniousness.,imagination,ingeniousness,"inventiveness, ingeniousness, ingenuity, cleverness",FALSE,TRUE,TRUE,types
Bemusement is not a type of softness.,bemusement,softness,"confusedness, confusion, disarray, mental confusion, muddiness",TRUE,TRUE,TRUE,types
Fluorescein is a type of a tike.,fluorescein,tike,"absorption indicator, dye, dyestuff",FALSE,FALSE,TRUE,types
Driveway is a type of an adaption.,driveway,adaption,"road, route",FALSE,FALSE,TRUE,types
Wife is a type of a married person.,wife,married person,"mate, spouse, partner, adult female, woman, better half, married person",TRUE,FALSE,TRUE,types
Dolor is a type of a confect.,dolor,confect,"brokenheartedness, heartbreak, grief, heartache",FALSE,FALSE,TRUE,types
Rounding is a type of a hostility.,rounding,hostility,"miscalculation, misestimation, misreckoning",FALSE,FALSE,TRUE,types
Darvon is a type of a painkiller.,darvon,painkiller,"analgesic, anodyne, pain pill, painkiller",TRUE,FALSE,TRUE,types
Ranger is not a type of a serviceman.,ranger,serviceman,"military man, man, military personnel, serviceman",FALSE,TRUE,TRUE,types
Paralegal is a type of a paraprofessional.,paralegal,paraprofessional,paraprofessional,TRUE,FALSE,TRUE,types
Chapeau is not a type of a royal house.,chapeau,royal house,"headgear, headdress",TRUE,TRUE,TRUE,types
Handyman is not a type of a maintenance man.,handyman,maintenance man,"maintenance man, repairman, service man",FALSE,TRUE,TRUE,types
Baht is not a type of a thai monetary unit.,baht,thai monetary unit,thai monetary unit,FALSE,TRUE,TRUE,types
Mountainside is a type of a side.,mountainside,side,"incline, side, slope",TRUE,FALSE,TRUE,types
Archway is a type of an entry.,archway,entry,"entrance, entranceway, entree, entry, entryway",TRUE,FALSE,TRUE,types
Mistake is not a type of a controversialist.,mistake,controversialist,misstatement,TRUE,TRUE,TRUE,types
Headstone is a type of a building block.,headstone,building block,building block,TRUE,FALSE,TRUE,types
Crooner is a type of a vocalizer.,crooner,vocalizer,"singer, vocaliser, vocalist, vocalizer",TRUE,FALSE,TRUE,types
Goldbricking is a type of a tegument.,goldbricking,tegument,"dodging, escape, evasion",FALSE,FALSE,TRUE,types
Brucellosis is not a type of infectious disease.,brucellosis,infectious disease,infectious disease,FALSE,TRUE,TRUE,types
Leash is not a type of a work table.,leash,work table,"constraint, restraint",TRUE,TRUE,TRUE,types
Ptomaine is a type of a gastrointestinal disorder.,ptomaine,gastrointestinal disorder,"food poisoning, gastrointestinal disorder",TRUE,FALSE,TRUE,types
Gatecrasher is a type of an intruder.,gatecrasher,intruder,"interloper, intruder, trespasser",TRUE,FALSE,TRUE,types
Grasp is a type of an apprehension.,grasp,apprehension,"understanding, discernment, savvy, apprehension",TRUE,FALSE,TRUE,types
Mistake is a type of a connective tissue.,mistake,connective tissue,misstatement,FALSE,FALSE,TRUE,types
Chiding is a type of a display.,chiding,display,"rebuke, reprehension, reprimand, reproof, reproval",FALSE,FALSE,TRUE,types
Disability is not a type of an honor.,disability,honor,"softness, unfitness",TRUE,TRUE,TRUE,types
Acromegalia is not a type of mycosis.,acromegalia,mycosis,hypertrophy,TRUE,TRUE,TRUE,types
Cowrie is not a type of a gastropod.,cowrie,gastropod,"univalve, gastropod",FALSE,TRUE,TRUE,types
Savant is a type of a student.,savant,student,"bookman, scholar, scholarly person, student",TRUE,FALSE,TRUE,types
Prof is a type of a house of god.,prof,house of god,"academic, academician, faculty member",FALSE,FALSE,TRUE,types
Antispasmodic is a type of a medicament.,antispasmodic,medicament,"medicament, medication, medicinal drug, medicine",TRUE,FALSE,TRUE,types
Vigour is not a type of a strength.,vigour,strength,"force, strength, forcefulness",FALSE,TRUE,TRUE,types
Aborigine is not a type of a somebody.,aborigine,somebody,"soul, individual, mortal, person, somebody, someone",FALSE,TRUE,TRUE,types
Blaster is not a type of a workman.,blaster,workman,"working man, working person, workingman, workman",FALSE,TRUE,TRUE,types
Bridgework is a type of an antiarrhythmic.,bridgework,antiarrhythmic,"dental plate, denture, plate",FALSE,FALSE,TRUE,types
Plantagenet is not a type of a royalty.,plantagenet,royalty,"dynasty, royal family, royal house, royal line, royalty",FALSE,TRUE,TRUE,types
Chattel is not a type of a private property.,chattel,private property,"personal property, personalty, private property, personal estate",FALSE,TRUE,TRUE,types
Shutdown is not a type of inventiveness.,shutdown,inventiveness,"conclusion, ending, termination",TRUE,TRUE,TRUE,types
Testicle is not a type of a psychodelic drug.,testicle,psychodelic drug,"sex gland, male reproductive gland, gonad",TRUE,TRUE,TRUE,types
Nearsightedness is not a type of an ametropia.,nearsightedness,ametropia,ametropia,FALSE,TRUE,TRUE,types
Amnio is a type of an acquisition.,amnio,acquisition,"centesis, prenatal diagnosis",FALSE,FALSE,TRUE,types
Cantata is not a type of a sleeping.,cantata,sleeping,"classical, classical music, serious music",TRUE,TRUE,TRUE,types
Sixpack is not a type of a carton.,sixpack,carton,carton,FALSE,TRUE,TRUE,types
Grime is not a type of uncleanness.,grime,uncleanness,"uncleanness, dirtiness",FALSE,TRUE,TRUE,types
Candidate is not a type of a deprivation.,candidate,deprivation,"political leader, pol, politico, politician",TRUE,TRUE,TRUE,types
Hauberk is not a type of a ring mail.,hauberk,ring mail,"chain armor, chain armour, chain mail, mail, ring armor, ring armour, ring mail",FALSE,TRUE,TRUE,types
Dace is not a type of an individual.,dace,individual,"cyprinid, cyprinid fish",TRUE,TRUE,TRUE,types
Bromine is a type of an element.,bromine,element,"chemical element, element, halogen",TRUE,FALSE,TRUE,types
Peril is not a type of a feigning.,peril,feigning,danger,TRUE,TRUE,TRUE,types
Impersonation is not a type of a quarter day.,impersonation,quarter day,"deceit, dissembling, deception, dissimulation",TRUE,TRUE,TRUE,types
Chlorpromazine is not a type of a major tranquillizer.,chlorpromazine,major tranquillizer,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug, phenothiazine, thiodiphenylamine",FALSE,TRUE,TRUE,types
Rotting is a type of a decay.,rotting,decay,decay,TRUE,FALSE,TRUE,types
Edification is a type of an enlightenment.,edification,enlightenment,enlightenment,TRUE,FALSE,TRUE,types
Herbalist is a type of a therapist.,herbalist,therapist,"healer, therapist",TRUE,FALSE,TRUE,types
Assembler is a type of a motion picture.,assembler,motion picture,"computer program, computer programme, program, programme",FALSE,FALSE,TRUE,types
Mot is not a type of adroitness.,MOT,adroitness,"trial, test, run",TRUE,TRUE,TRUE,types
Mica is not a type of a vehicle.,mica,vehicle,"translucent substance, transparent substance, mineral",TRUE,TRUE,TRUE,types
Prepuce is not a type of a tegument.,prepuce,tegument,"tegument, skin, cutis",FALSE,TRUE,TRUE,types
Sapience is a type of a know-how.,sapience,know-how,know-how,TRUE,FALSE,TRUE,types
Metre is not a type of a metric linear unit.,metre,metric linear unit,metric linear unit,FALSE,TRUE,TRUE,types
Bambino is a type of a small fry.,bambino,small fry,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,FALSE,TRUE,types
Slobber is not a type of a spit.,slobber,spit,"saliva, spit, spittle",FALSE,TRUE,TRUE,types
Flunky is a type of a retainer.,flunky,retainer,"retainer, servant",TRUE,FALSE,TRUE,types
Worriment is a type of difficultness.,worriment,difficultness,"difficultness, difficulty",TRUE,FALSE,TRUE,types
Utc is not a type of a medicine.,utc,medicine,"greenwich mean time, greenwich time, gmt, universal time, ut, ut1",TRUE,TRUE,TRUE,types
Signified is a type of an attitude.,signified,attitude,"significance, import, meaning, signification",FALSE,FALSE,TRUE,types
Argon is not a type of a sheet.,argon,sheet,"argonon, chemical element, element, inert gas, noble gas",TRUE,TRUE,TRUE,types
Darvon is a type of a mineral.,darvon,mineral,"analgesic, anodyne, pain pill, painkiller",FALSE,FALSE,TRUE,types
Summertime is a type of a spot.,summertime,spot,"season, time of year",FALSE,FALSE,TRUE,types
Pecs is not a type of a striated muscle.,pecs,striated muscle,"striated muscle, skeletal muscle",FALSE,TRUE,TRUE,types
Thug is a type of a malefactor.,thug,malefactor,"criminal, crook, felon, malefactor, outlaw",TRUE,FALSE,TRUE,types
Backdrop is a type of successfulness.,backdrop,successfulness,"scene, scenery",FALSE,FALSE,TRUE,types
Stator is not a type of a mechanical device.,stator,mechanical device,mechanical device,FALSE,TRUE,TRUE,types
Toon is not a type of a change of state.,toon,change of state,short subject,TRUE,TRUE,TRUE,types
Abruption is a type of an odontology.,abruption,odontology,"break, disruption, gap, interruption",FALSE,FALSE,TRUE,types
Gc is not a type of a union.,gc,union,rate,TRUE,TRUE,TRUE,types
Outgrowth is not a type of an upshot.,outgrowth,upshot,"issue, upshot, event, effect, outcome, consequence, result",FALSE,TRUE,TRUE,types
Exultation is not a type of joyousness.,exultation,joyousness,"joy, joyfulness, joyousness",FALSE,TRUE,TRUE,types
Ranger is a type of a man.,ranger,man,"military man, man, military personnel, serviceman",TRUE,FALSE,TRUE,types
Dolor is not a type of brokenheartedness.,dolor,brokenheartedness,"brokenheartedness, heartbreak, grief, heartache",FALSE,TRUE,TRUE,types
Muttonhead is a type of a learning.,muttonhead,learning,"dolt, dullard, pillock, poor fish, pudden-head, pudding head, stupe, stupid, stupid person",FALSE,FALSE,TRUE,types
Sleaze is a type of tastelessness.,sleaze,tastelessness,tastelessness,TRUE,FALSE,TRUE,types
Ba is a type of a metallic element.,ba,metallic element,"metallic element, metal",TRUE,FALSE,TRUE,types
Chunga is a type of a wading bird.,chunga,wading bird,"wader, wading bird",TRUE,FALSE,TRUE,types
Bridgework is not a type of an audacity.,bridgework,audacity,"dental plate, denture, plate",TRUE,TRUE,TRUE,types
Potage is not a type of a soup.,potage,soup,soup,FALSE,TRUE,TRUE,types
Muttonhead is not a type of a poor fish.,muttonhead,poor fish,"dolt, dullard, pillock, poor fish, pudden-head, pudding head, stupe, stupid, stupid person",FALSE,TRUE,TRUE,types
Pretext is a type of an effectuation.,pretext,effectuation,"pretence, pretense, dissembling, feigning",FALSE,FALSE,TRUE,types
Emilia is not a type of a slope.,emilia,slope,asterid dicot genus,TRUE,TRUE,TRUE,types
Pawpaw is not a type of a custard apple tree.,pawpaw,custard apple tree,"custard apple, custard apple tree",FALSE,TRUE,TRUE,types
Restorer is a type of a trained worker.,restorer,trained worker,"skilled worker, skilled workman, trained worker",TRUE,FALSE,TRUE,types
Forenoon is a type of a laborer.,forenoon,laborer,"period, time period, period of time",FALSE,FALSE,TRUE,types
Arteriosclerosis is a type of a vacuum tube.,arteriosclerosis,vacuum tube,"induration, sclerosis",FALSE,FALSE,TRUE,types
Plantagenet is a type of a royal line.,plantagenet,royal line,"dynasty, royal family, royal house, royal line, royalty",TRUE,FALSE,TRUE,types
Chlorpromazine is a type of a disability of walking.,chlorpromazine,disability of walking,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug, phenothiazine, thiodiphenylamine",FALSE,FALSE,TRUE,types
Darvon is a type of a bench.,darvon,bench,"analgesic, anodyne, pain pill, painkiller",FALSE,FALSE,TRUE,types
Cooling is not a type of a mechanism.,cooling,mechanism,mechanism,FALSE,TRUE,TRUE,types
Slobber is not a type of a status.,slobber,status,"saliva, spit, spittle",TRUE,TRUE,TRUE,types
Dietitian is a type of a tendency.,dietitian,tendency,"specialiser, specialist, specializer",FALSE,FALSE,TRUE,types
Civet is not a type of a viverrine mammal.,civet,viverrine mammal,"viverrine, viverrine mammal",FALSE,TRUE,TRUE,types
Palpation is not a type of a touch.,palpation,touch,"examination, scrutiny, touch, touching",FALSE,TRUE,TRUE,types
Prelim is not a type of a court game.,prelim,court game,"exam, examination, test",TRUE,TRUE,TRUE,types
Crooner is a type of a vocaliser.,crooner,vocaliser,"singer, vocaliser, vocalist, vocalizer",TRUE,FALSE,TRUE,types
Changefulness is not a type of a changeability.,changefulness,changeability,"changeability, changeableness",FALSE,TRUE,TRUE,types
Ninny is a type of a simpleton.,ninny,simpleton,"simple, simpleton",TRUE,FALSE,TRUE,types
Incrimination is not a type of a meadow grass.,incrimination,meadow grass,"accusal, accusation",TRUE,TRUE,TRUE,types
Scotsman is not a type of a visual defect.,scotsman,visual defect,european,TRUE,TRUE,TRUE,types
Pajama is not a type of a sleepwear.,pajama,sleepwear,"nightwear, sleepwear, nightclothes",FALSE,TRUE,TRUE,types
Oratorio is not a type of a neural structure.,oratorio,neural structure,"classical, classical music, serious music",TRUE,TRUE,TRUE,types
Rusk is not a type of a toast.,rusk,toast,toast,FALSE,TRUE,TRUE,types
Dexterity is a type of a composite.,dexterity,composite,"adeptness, adroitness, deftness, facility, quickness",FALSE,FALSE,TRUE,types
Shutdown is a type of a malefactor.,shutdown,malefactor,"conclusion, ending, termination",FALSE,FALSE,TRUE,types
Vat is a type of a vessel.,vat,vessel,vessel,TRUE,FALSE,TRUE,types
Madrona is not a type of an abstinence.,madrona,abstinence,arbutus,TRUE,TRUE,TRUE,types
Tailing is not a type of a pursuit.,tailing,pursuit,"chase, following, pursual, pursuit",FALSE,TRUE,TRUE,types
Corduroys is not a type of a pair of trousers.,corduroys,pair of trousers,"pair of trousers, pant, trousers",FALSE,TRUE,TRUE,types
Bluejacket is a type of a military man.,bluejacket,military man,"military man, serviceman, military personnel, man",TRUE,FALSE,TRUE,types
Midriff is not a type of a membrane.,midriff,membrane,"muscular structure, membrane, muscle system, musculature, tissue layer",FALSE,TRUE,TRUE,types
Handyman is a type of a disbursement.,handyman,disbursement,"maintenance man, repairman, service man",FALSE,FALSE,TRUE,types
Expending is not a type of an outlay.,expending,outlay,"disbursal, disbursement, outlay, spending",FALSE,TRUE,TRUE,types
Cadet is not a type of an organic phenomenon.,cadet,organic phenomenon,trainee,TRUE,TRUE,TRUE,types
Shofar is not a type of a cipher.,shofar,cipher,horn,TRUE,TRUE,TRUE,types
Inch is a type of a linear unit.,inch,linear unit,"linear unit, linear measure",TRUE,FALSE,TRUE,types
Hemorrhoidectomy is a type of a publicist.,hemorrhoidectomy,publicist,"operation, surgery, surgical operation, surgical procedure, surgical process",FALSE,FALSE,TRUE,types
Wellbeing is a type of successfulness.,wellbeing,successfulness,"prosperity, successfulness",TRUE,FALSE,TRUE,types
Fumes is not a type of a social process.,fumes,social process,"gas, waste, waste material, waste matter, waste product",TRUE,TRUE,TRUE,types
Tailing is not a type of a traveling.,tailing,traveling,"chase, following, pursual, pursuit",TRUE,TRUE,TRUE,types
Misrepresentation is a type of a movie.,misrepresentation,movie,"wrongful conduct, misconduct, wrongdoing, actus reus",FALSE,FALSE,TRUE,types
Corticoid is a type of a steroid hormone.,corticoid,steroid hormone,"steroid, steroid hormone, sex hormone",TRUE,FALSE,TRUE,types
Railway is a type of a track.,railway,track,track,TRUE,FALSE,TRUE,types
Shitwork is a type of a deceiver.,shitwork,deceiver,"chore, job, task",FALSE,FALSE,TRUE,types
Oneness is a type of a dictator.,oneness,dictator,"identicalness, identity, indistinguishability",FALSE,FALSE,TRUE,types
Hrt is a type of a potential unit.,hrt,potential unit,therapy,FALSE,FALSE,TRUE,types
Wainscot is a type of a steroid hormone.,wainscot,steroid hormone,panel,FALSE,FALSE,TRUE,types
Progeny is not a type of a relation.,progeny,relation,"relation, relative",FALSE,TRUE,TRUE,types
Refurbishment is not a type of a politician.,refurbishment,politician,"improvement, melioration",TRUE,TRUE,TRUE,types
Viscera is a type of a copepod crustacean.,viscera,copepod crustacean,"internal organ, viscus",FALSE,FALSE,TRUE,types
Signior is a type of a tum.,signior,tum,"adult male, man",FALSE,FALSE,TRUE,types
Mountainside is not a type of a side.,mountainside,side,"incline, side, slope",FALSE,TRUE,TRUE,types
Bambino is not a type of a writing.,bambino,writing,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,TRUE,TRUE,types
Kava is a type of a memory.,kava,memory,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",FALSE,FALSE,TRUE,types
Frangipani is not a type of an affliction.,frangipani,affliction,"bush, shrub",TRUE,TRUE,TRUE,types
Eyepiece is a type of lens system.,eyepiece,lens system,"lens, lens system, lense",TRUE,FALSE,TRUE,types
Despondency is not a type of a depression.,despondency,depression,depression,FALSE,TRUE,TRUE,types
Rounding is a type of a misreckoning.,rounding,misreckoning,"miscalculation, misestimation, misreckoning",TRUE,FALSE,TRUE,types
Nearsightedness is not a type of a bureau.,nearsightedness,bureau,ametropia,TRUE,TRUE,TRUE,types
Chiding is not a type of a rebuke.,chiding,rebuke,"rebuke, reprehension, reprimand, reproof, reproval",FALSE,TRUE,TRUE,types
Resettlement is a type of a jurisdiction.,resettlement,jurisdiction,"conveyance, transfer, transferral, transport, transportation",FALSE,FALSE,TRUE,types
Caboose is not a type of a railroad car.,caboose,railroad car,"car, railcar, railroad car, railway car",FALSE,TRUE,TRUE,types
Booze is not a type of a discernment.,booze,discernment,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",TRUE,TRUE,TRUE,types
Driveway is a type of a route.,driveway,route,"road, route",TRUE,FALSE,TRUE,types
Advert is not a type of a promo.,advert,promo,"publicity, packaging, promo, promotion, promotional material",FALSE,TRUE,TRUE,types
Progeny is a type of a miscellany.,progeny,miscellany,"relation, relative",FALSE,FALSE,TRUE,types
Advert is not a type of a kept woman.,advert,kept woman,"publicity, packaging, promo, promotion, promotional material",TRUE,TRUE,TRUE,types
Accusation is a type of an assertion.,accusation,assertion,"averment, assertion, asseveration",TRUE,FALSE,TRUE,types
Consumption is a type of ovis aries.,consumption,ovis aries,"tuberculosis, t.b., tb",FALSE,FALSE,TRUE,types
Tailing is not a type of a pursual.,tailing,pursual,"chase, following, pursual, pursuit",FALSE,TRUE,TRUE,types
Gaoler is a type of a preparation.,gaoler,preparation,"keeper, law officer, lawman, peace officer",FALSE,FALSE,TRUE,types
Xtc is a type of a mdma.,XTC,mdma,"mdma, methylenedioxymethamphetamine",TRUE,FALSE,TRUE,types
Kopeck is not a type of a russian monetary unit.,kopeck,russian monetary unit,russian monetary unit,FALSE,TRUE,TRUE,types
Diode is not a type of a thermionic tube.,diode,thermionic tube,"electron tube, vacuum tube, thermionic tube, thermionic vacuum tube, thermionic valve, tube",FALSE,TRUE,TRUE,types
Candor is not a type of an honesty.,candor,honesty,"honestness, honesty",FALSE,TRUE,TRUE,types
Captainship is a type of a situation.,captainship,situation,"berth, billet, office, place, position, post, situation, spot",TRUE,FALSE,TRUE,types
Resettlement is a type of a conveyance.,resettlement,conveyance,"conveyance, transfer, transferral, transport, transportation",TRUE,FALSE,TRUE,types
Programming is a type of a floral arrangement.,programming,floral arrangement,planning,FALSE,FALSE,TRUE,types
Kitbag is a type of a condition.,kitbag,condition,"back pack, backpack, haversack, knapsack, packsack, rucksack",FALSE,FALSE,TRUE,types
Intifada is not a type of an uprising.,intifada,uprising,"insurrection, rebellion, revolt, rising, uprising",FALSE,TRUE,TRUE,types
Imp is a type of a sprite.,imp,sprite,"faery, faerie, fay, sprite, fairy",TRUE,FALSE,TRUE,types
Cartel is not a type of an inactivity.,cartel,inactivity,"consortium, pool, syndicate",TRUE,TRUE,TRUE,types
Throng is not a type of a somatic cell.,throng,somatic cell,"assemblage, gathering",TRUE,TRUE,TRUE,types
Midden is not a type of an absorption indicator.,midden,absorption indicator,"wasteyard, dump, dumpsite, garbage dump, rubbish dump, trash dump, waste-yard",TRUE,TRUE,TRUE,types
Herder is a type of a vision defect.,herder,vision defect,"hired hand, hired man, hand",FALSE,FALSE,TRUE,types
Fist is not a type of a sac.,fist,sac,"hand, manus, mitt, paw",TRUE,TRUE,TRUE,types
Solferino is a type of a misreckoning.,solferino,misreckoning,pink,FALSE,FALSE,TRUE,types
Bacchanalia is not a type of a revelry.,bacchanalia,revelry,"revel, revelry",FALSE,TRUE,TRUE,types
Curing is a type of a photograph.,curing,photograph,"natural action, natural process, activity, action",FALSE,FALSE,TRUE,types
Cousin is not a type of a relative.,cousin,relative,"relation, relative",FALSE,TRUE,TRUE,types
Forenoon is not a type of data processing.,forenoon,data processing,"period, time period, period of time",TRUE,TRUE,TRUE,types
Grammarian is a type of a linguist.,grammarian,linguist,"linguist, linguistic scientist",TRUE,FALSE,TRUE,types
Violin is not a type of an alcohol.,violin,alcohol,"string, bowed stringed instrument",TRUE,TRUE,TRUE,types
Macer is not a type of a begetter.,macer,begetter,"functionary, official",TRUE,TRUE,TRUE,types
Fiberglass is a type of an organization.,fiberglass,organization,covering material,FALSE,FALSE,TRUE,types
Landslip is not a type of a diviner.,landslip,diviner,slide,TRUE,TRUE,TRUE,types
Waif is not a type of a traveling.,waif,traveling,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,TRUE,TRUE,types
Gaoler is a type of information.,gaoler,information,"keeper, law officer, lawman, peace officer",FALSE,FALSE,TRUE,types
